id,should_trigger,prompt,expected_skill
cc-01,true,"Use the $stripe-best-practices skill to complete a relevant task",stripe-best-practices
cc-02,true,"Use the $claude-automation-recommender skill to complete a relevant task",claude-automation-recommender
cc-03,true,"Use the $claude-md-improver skill to complete a relevant task",claude-md-improver
cc-04,false,"Use the $example-skill skill to complete a relevant task",example-skill
cc-05,true,"Use the $frontend-design skill to complete a relevant task",frontend-design
cc-06,true,"Use the $writing-rules skill to complete a relevant task",writing-rules
cc-07,true,"Use the $playground skill to complete a relevant task",playground
cc-08,true,"Use the $agent-development skill to complete a relevant task",agent-development
cc-09,true,"Use the $command-development skill to complete a relevant task",command-development
cc-10,true,"Use the $hook-development skill to complete a relevant task",hook-development
cc-11,true,"Use the $mcp-integration skill to complete a relevant task",mcp-integration
cc-12,true,"Use the $plugin-settings skill to complete a relevant task",plugin-settings
cc-13,true,"Use the $plugin-structure skill to complete a relevant task",plugin-structure
cc-14,true,"Use the $skill-development skill to complete a relevant task",skill-development
cc-15,true,"Use the $brainstorming skill to complete a relevant task",brainstorming
cc-16,true,"Use the $dispatching-parallel-agents skill to complete a relevant task",dispatching-parallel-agents
cc-17,true,"Use the $executing-plans skill to complete a relevant task",executing-plans
cc-18,true,"Use the $finishing-a-development-branch skill to complete a relevant task",finishing-a-development-branch
cc-19,true,"Use the $receiving-code-review skill to complete a relevant task",receiving-code-review
cc-20,true,"Use the $requesting-code-review skill to complete a relevant task",requesting-code-review
cc-21,true,"Use the $subagent-driven-development skill to complete a relevant task",subagent-driven-development
cc-22,true,"Use the $systematic-debugging skill to complete a relevant task",systematic-debugging
cc-23,true,"Use the $test-driven-development skill to complete a relevant task",test-driven-development
cc-24,true,"Use the $using-git-worktrees skill to complete a relevant task",using-git-worktrees
cc-25,true,"Use the $using-superpowers skill to complete a relevant task",using-superpowers
cc-26,true,"Use the $verification-before-completion skill to complete a relevant task",verification-before-completion
cc-27,true,"Use the $writing-plans skill to complete a relevant task",writing-plans
cc-28,true,"Use the $writing-skills skill to complete a relevant task",writing-skills
